,title,artist,rank
0,Save Your Tears,The Weeknd & Ariana Grande,1
1,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2
2,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,3
3,Rapstar,Polo G,4
4,Levitating,Dua Lipa Featuring DaBaby,5
5,Kiss Me More,Doja Cat Featuring SZA,6
6,Montero (Call Me By Your Name),Lil Nas X,7
7,Astronaut In The Ocean,Masked Wolf,8
8,Up,Cardi B,9
9,Drivers License,Olivia Rodrigo,10
10,Blinding Lights,The Weeknd,11
11,Deja Vu,Olivia Rodrigo,12
12,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,13
13,Calling My Phone,Lil Tjay Featuring 6LACK,14
14,On Me,Lil Baby,15
15,Best Friend,Saweetie Featuring Doja Cat,16
16,Heartbreak Anniversary,Giveon,17
17,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,18
18,What You Know Bout Love,Pop Smoke,19
19,Mood,24kGoldn Featuring iann dior,20
20,My Ex's Best Friend,Machine Gun Kelly X blackbear,21
21,Back In Blood,Pooh Shiesty Featuring Lil Durk,22
22,Without You,The Kid LAROI,23
23,The Good Ones,Gabby Barrett,24
24,Go Crazy,Chris Brown & Young Thug,25
25,You Broke Me First.,Tate McRae,26
26,34+35,Ariana Grande,27
27,Hell Of A View,Eric Church,28
28,Forever After All,Luke Combs,29
29,What's Next,Drake,30
30,Time Today,Moneybagg Yo,31
31,Therefore I Am,Billie Eilish,32
32,Dakiti,Bad Bunny & Jhay Cortez,33
33,Positions,Ariana Grande,34
34,Shottas (Lala),Moneybagg Yo,35
35,Solid,Young Thug & Gunna Featuring Drake,36
36,Track Star,Mooski,37
37,Ski,Young Thug & Gunna,38
38,Wants And Needs,Drake Featuring Lil Baby,39
39,You're Mines Still,Yung Bleu Featuring Drake,40
40,We're Good,Dua Lipa,41
41,Heat Waves,Glass Animals,42
42,Made For You,Jake Owen,43
43,Good Days,SZA,44
44,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,45
45,Breaking Up Was Easy In The 90's,Sam Hunt,46
46,No More Parties,Coi Leray Featuring Lil Durk,47
47,Goosebumps,Travis Scott & HVME,48
48,Telepatia,Kali Uchis,49
49,Tombstone,Rod Wave,50
50,Streets,Doja Cat,51
51,Go!,Moneybagg Yo Featuring BIG30,52
52,Hard For The Next,Moneybagg Yo & Future,53
53,If Pain Was A Person,Moneybagg Yo,54
54,What's Your Country Song,Thomas Rhett,55
55,Just The Way,Parmalee x Blanco Brown,56
56,Hold On,Justin Bieber,57
57,Settling Down,Miranda Lambert,58
58,Wockesha,Moneybagg Yo,59
59,Botella Tras Botella,Gera MX + Christian Nodal,60
60,Willow,Taylor Swift,61
61,Damage,H.E.R.,62
62,Street Runner,Rod Wave,63
63,Come Through,H.E.R. Featuring Chris Brown,64
64,Somebody Like That,Tenille Arts,65
65,pov,Ariana Grande,66
66,Lil Bit,Nelly & Florida Georgia Line,67
67,Gone,Dierks Bentley,68
68,Nobody,Dylan Scott,69
69,Famous Friends,Chris Young + Kane Brown,70
70,Quicksand,Morray,71
71,Lady,Brett Young,72
72,The Business,Tiesto,73
73,La Noche de Anoche,Bad Bunny & Rosalia,74
74,One Too Many,Keith Urban Duet With P!nk,75
75,Richer,Rod Wave Featuring Polo G,76
76,Almost Maybes,Jordan Davis,77
77,Follow You,Imagine Dragons,78
78,Glad You Exist,Dan + Shay,79
79,Free Promo,Moneybagg Yo Featuring Polo G & Lil Durk,80
80,Pick Up Your Feelings,Jazmine Sullivan,81
81,Just Say Det,Moneybagg Yo,82
82,Big Gangsta,Kevin Gates,83
83,Down To One,Luke Bryan,84
84,Headshot,"Lil Tjay, Polo G & Fivio Foreign",85
85,Hellcats & Trackhawks,Lil Durk,86
86,Anyone,Justin Bieber,87
87,My Head And My Heart,Ava Max,88
88,How They Remember You,Rascal Flatts,89
89,Arcade,Duncan Laurence,90
90,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,91
91,Masterpiece,DaBaby,92
92,Long Live,Florida Georgia Line,93
93,Chasing After You,Ryan Hurd With Maren Morris,94
94,Drankin N Smokin,Future & Lil Uzi Vert,95
95,4 Da Gang,42 Dugg & Roddy Ricch,96
96,Blame It On You,Jason Aldean,97
97,Wasted On You,Morgan Wallen,98
98,Way Less Sad,AJR,99
99,Clear Da Air,Moneybagg Yo,100
